央视频道,#genre#
iHOT爱奇谈,http://nas.yzs10000.com:17777/rtp/239.94.1.130:5140
iHOT爱幼教,http://nas.yzs10000.com:17777/rtp/239.94.1.139:5140
iHOT爱悬疑,http://nas.yzs10000.com:17777/rtp/239.94.1.136:5140
iHOT爱旅行,http://nas.yzs10000.com:17777/rtp/239.94.1.137:5140
iHOT爱浪漫,http://nas.yzs10000.com:17777/rtp/239.94.1.128:5140
iHOT爱玩具,http://nas.yzs10000.com:17777/rtp/239.94.1.140:5140
iHOT爱科幻,http://nas.yzs10000.com:17777/rtp/239.94.1.131:5140
iHOT爱谍战,http://nas.yzs10000.com:17777/rtp/239.94.1.134:5140
iHOT爱赛车,http://nas.yzs10000.com:17777/rtp/239.94.1.144:5140
iHOT爱院线,http://nas.yzs10000.com:17777/rtp/239.94.1.132:5140
4K频道,#genre#
动漫秀场,http://bgs.cchui.fun:7912/rtp/233.50.201.184:5140
北京卫视4K,http://bgs.cchui.fun:7912/rtp/233.50.202.100:5140
广东卫视4K,http://bgs.cchui.fun:7912/rtp/233.50.202.101:5140
深圳卫视4K,http://bgs.cchui.fun:7912/rtp/233.50.202.102:5140
东方卫视4K,http://bgs.cchui.fun:7912/rtp/233.50.202.105:5140
江苏卫视4K,http://bgs.cchui.fun:7912/rtp/233.50.202.107:5140
山东卫视4K,http://bgs.cchui.fun:7912/rtp/233.50.202.108:5140
湖南卫视4K,http://bgs.cchui.fun:7912/rtp/233.50.202.106:5140
四川卫视4K,http://bgs.cchui.fun:7912/rtp/233.50.202.109:5140
百事通4K-1,http://bgs.cchui.fun:7912/rtp/233.50.200.182:5140
百事通4k-2,http://bgs.cchui.fun:7912/rtp/233.50.200.183:5140
百事通电影4K,http://bgs.cchui.fun:7912/rtp/233.50.200.185:5140
CCTV4K,http://bgs.cchui.fun:7912/rtp/233.50.201.226:5140
欢笑剧场4K,http://nas.yzs10000.com:17777/rtp/239.94.1.176:5140
爱上4K,http://nas.yzs10000.com:17777/rtp/239.94.0.21:5140
4K乐享超清,http://nas.yzs10000.com:17777/rtp/239.94.1.162:5140
4K少儿,http://nas.yzs10000.com:17777/rtp/239.94.1.70:5140
4K纪实,http://nas.yzs10000.com:17777/rtp/239.94.1.69:5140
4K视界,http://nas.yzs10000.com:17777/rtp/239.94.1.60:5140
亲子趣学4k,http://nas.yzs10000.com:17777/rtp/239.94.1.156:5140
天翼高清4K,http://nas.yzs10000.com:17777/rtp/239.94.2.40:5140
天翼高清4K,http://nas.yzs10000.com:17777/rtp/239.94.2.41:5140
绚影4K,http://nas.yzs10000.com:17777/rtp/239.94.1.150:5140
